LA,Year,Population,Generated,Generated_pp,Recycled,Recycled_pp
Aberdeen City,2017,228800,87786.6,0.38,38568.01,0.17
Aberdeenshire,2017,261800,127632.2,0.49,55713.98,0.21
Angus,2017,116280,56277.8,0.48,31071.53,0.27
Argyll and Bute,2017,86810,50437.0,0.58,19536.17,0.23
City of Edinburgh,2017,513210,200720.1,0.39,82277.43,0.16
Clackmannanshire,2017,51450,27200.8,0.53,16196.01,0.31
Dumfries and Galloway,2017,149200,76288.6,0.51,21245.28,0.14
Dundee City,2017,148710,64296.7,0.43,22844.43,0.15
East Ayrshire,2017,121940,55841.7,0.46,29547.27,0.24
East Dunbartonshire,2017,108130,56445.0,0.52,27043.0,0.25
East Lothian,2017,104840,50611.8,0.48,26884.91,0.26
East Renfrewshire,2017,94760,47563.6,0.5,31936.77,0.34
Falkirk,2017,160130,74651.2,0.47,41727.67,0.26
Fife,2017,371410,178478.4,0.48,97545.74,0.26
Glasgow City,2017,621020,224524.5,0.36,59875.54,0.1
Highland,2017,235180,130190.3,0.55,56704.41,0.24
Inverclyde,2017,78760,27564.8,0.35,15771.0,0.2
Midlothian,2017,90090,42725.3,0.47,22049.11,0.24
Moray,2017,95780,51089.9,0.53,29516.88,0.31
Na h-Eileanan an Iar,2017,26950,14453.2,0.54,3461.46,0.13
North Ayrshire,2017,135790,62954.3,0.46,35124.7,0.26
North Lanarkshire,2017,339960,156813.1,0.46,62037.06,0.18
Orkney Islands,2017,22000,10798.0,0.49,1979.5,0.09
Perth and Kinross,2017,151100,74788.8,0.49,41577.75,0.28
Renfrewshire,2017,176830,83526.3,0.47,39922.57,0.23
Scottish Borders,2017,115020,53471.3,0.46,21324.17,0.19
Shetland Islands,2017,23080,9754.2,0.42,777.99,0.03
South Ayrshire,2017,112680,56771.8,0.5,31348.96,0.28
South Lanarkshire,2017,318170,151739.6,0.48,71752.58,0.23
Stirling,2017,94000,40773.9,0.43,22470.15,0.24
West Dunbartonshire,2017,89610,43550.9,0.49,20735.42,0.23
West Lothian,2017,181310,71050.7,0.39,43556.05,0.24
Scotland,2017,5424800,2460772.4,0.45,1122123.5,0.21
Aberdeen City,2016,229840,96122.58300000001,0.42,37498.473,0.16
Aberdeenshire,2016,262190,131863.31,0.5,57304.514970000004,0.22
Angus,2016,116520,58846.71,0.51,33370.93331,0.29
Argyll and Bute,2016,87130,53684.0,0.62,18188.22832,0.21
City of Edinburgh,2016,507170,193333.13,0.38,86317.69,0.17
Clackmannanshire,2016,51350,27090.93,0.53,15305.8332,0.3
Dumfries and Galloway,2016,149520,79804.61,0.53,21291.46792,0.14
Dundee City,2016,148270,67998.365,0.46,22860.605,0.15
East Ayrshire,2016,122200,56433.011,0.46,30063.036710000004,0.25
East Dunbartonshire,2016,107540,55852.0,0.52,27085.0,0.25
East Lothian,2016,104090,50874.119000000006,0.49,26336.90419,0.25
East Renfrewshire,2016,93810,47723.762,0.51,29009.89537,0.31
Falkirk,2016,159380,71783.05,0.45,36831.52,0.23
Fife,2016,370330,187746.37,0.51,102609.7586,0.28
Glasgow City,2016,615070,216872.52,0.35,54552.29,0.09
Highland,2016,234770,130959.25099999999,0.56,58231.5285,0.25
Inverclyde,2016,79160,29363.06,0.37,15692.3184,0.2
Midlothian,2016,88610,42635.58,0.48,22804.43126,0.26
Moray,2016,96070,51968.45959,0.54,30698.2917,0.32
Na h-Eileanan an Iar,2016,26900,14959.44,0.56,3607.3,0.13
North Ayrshire,2016,135890,63838.04852999999,0.47,35308.53155,0.26
North Lanarkshire,2016,339390,160915.563,0.47,66207.40582999999,0.2
Orkney Islands,2016,21850,10348.9,0.47,2006.9,0.09
Perth and Kinross,2016,150680,78729.9,0.52,43094.81764,0.29
Renfrewshire,2016,175930,83660.8,0.48,40546.85506,0.23
Scottish Borders,2016,114530,51921.08900000001,0.45,20264.41079,0.18
Shetland Islands,2016,23200,9995.63,0.43,786.6,0.03
South Ayrshire,2016,112470,56484.61,0.5,28189.77083,0.25
South Lanarkshire,2016,317100,152533.14,0.48,80818.16928,0.25
Stirling,2016,93750,44266.92,0.47,24233.10768,0.26
West Dunbartonshire,2016,89860,44936.1,0.5,21784.92,0.24
West Lothian,2016,180130,75435.54,0.42,36591.02861,0.2
Scotland,2016,5404700,2498980.501,0.46,1129492.538,0.21
Aberdeen City,2015,230350,95240.83300000001,0.41,36679.01801,0.16
Aberdeenshire,2015,261960,130248.65699999999,0.5,56901.797,0.22
Angus,2015,116900,57608.75,0.49,34102.0842,0.29
Argyll and Bute,2015,86890,51847.0,0.6,17514.04282,0.2
City of Edinburgh,2015,498810,189573.8,0.38,80129.67,0.16
Clackmannanshire,2015,51360,26621.08,0.52,12791.679820000001,0.25
Dumfries and Galloway,2015,149670,74092.27,0.5,20090.90067,0.13
Dundee City,2015,148210,67182.109,0.45,22372.859,0.15
East Ayrshire,2015,122060,56374.317,0.46,29865.54128,0.24
East Dunbartonshire,2015,106960,54191.1,0.51,27454.32,0.26
East Lothian,2015,103050,50905.98,0.49,26162.737,0.25
East Renfrewshire,2015,92940,46880.39,0.5,26449.37,0.28
Falkirk,2015,158460,72329.44,0.46,39010.59,0.25
Fife,2015,368080,191152.7,0.52,99965.11183,0.27
Glasgow City,2015,606340,221901.96,0.37,57624.38,0.1
Highland,2015,234110,130780.31,0.56,58147.111410000005,0.25
Inverclyde,2015,79500,28493.27,0.36,15591.88776,0.2
Midlothian,2015,87390,42076.4,0.48,20135.68907,0.23
Moray,2015,95510,50116.062999999995,0.52,28777.732999999997,0.3
Na h-Eileanan an Iar,2015,27070,14012.73,0.52,2972.68,0.11
North Ayrshire,2015,136130,64193.62,0.47,35948.6509,0.26
North Lanarkshire,2015,338260,155932.956,0.46,62335.09349,0.18
Orkney Islands,2015,21670,9370.9,0.43,1801.5,0.08
Perth and Kinross,2015,149930,76186.5,0.51,41328.45036,0.28
Renfrewshire,2015,174560,83067.552,0.48,36426.56434,0.21
Scottish Borders,2015,114030,49847.78,0.44,18600.4555,0.16
Shetland Islands,2015,23200,10249.75,0.44,939.42,0.04
South Ayrshire,2015,112400,55652.51,0.5,28652.722939999996,0.25
South Lanarkshire,2015,316230,151656.32,0.48,74240.68766,0.23
Stirling,2015,92830,41924.07804,0.45,22582.41815,0.24
West Dunbartonshire,2015,89590,45088.43,0.5,20914.66271,0.23
West Lothian,2015,178550,74000.18,0.41,35091.78939,0.2
Scotland,2015,5373000,2468799.735,0.46,1091601.618,0.2
Aberdeen City,2014,228920,96129.69699999999,0.42,36741.627,0.16
Aberdeenshire,2014,260530,131389.699,0.5,52478.64565,0.2
Angus,2014,116740,58892.1,0.5,30879.12752,0.26
Argyll and Bute,2014,87650,52359.0,0.6,15655.4557,0.18
City of Edinburgh,2014,492610,26785.5501,0.05,14929.235359999999,0.03
Clackmannanshire,2014,51190,76453.87,1.49,15939.877190000001,0.31
Dumfries and Galloway,2014,149960,63737.66,0.43,20289.58,0.14
Dundee City,2014,148130,56391.74,0.38,28380.64626,0.19
East Ayrshire,2014,122130,52897.46,0.43,23532.9,0.19
East Dunbartonshire,2014,106710,52659.98,0.49,22522.84,0.21
East Lothian,2014,102090,46223.609000000004,0.45,25950.353,0.25
East Renfrewshire,2014,92410,189525.21,2.05,70451.25,0.76
Falkirk,2014,157690,13478.67,0.09,2914.28,0.02
Fife,2014,367250,73620.385,0.2,39980.455,0.11
Glasgow City,2014,599640,188212.59,0.31,101059.5557,0.17
Highland,2014,233080,224487.99,0.96,57839.43,0.25
Inverclyde,2014,79890,131227.797,1.64,60459.43743,0.76
Midlothian,2014,86220,28458.22,0.33,16171.08572,0.19
Moray,2014,94770,40725.71,0.43,19110.51,0.2
Na h-Eileanan an Iar,2014,27250,50901.700999999994,1.87,27681.091,1.02
North Ayrshire,2014,136480,65064.47,0.48,36743.49338,0.27
North Lanarkshire,2014,338000,150309.193,0.44,62527.66338,0.18
Orkney Islands,2014,21580,10567.8,0.49,1830.7,0.08
Perth and Kinross,2014,148930,74949.18,0.5,42371.9615,0.28
Renfrewshire,2014,174230,80858.407,0.46,37657.81506,0.22
Scottish Borders,2014,114040,49951.97,0.44,18345.29893,0.16
Shetland Islands,2014,23220,9942.01,0.43,899.2,0.04
South Ayrshire,2014,112530,55477.07,0.49,27750.57068,0.25
South Lanarkshire,2014,315300,153492.39,0.49,69000.08984,0.22
Stirling,2014,91520,40564.84,0.44,21551.36712,0.24
West Dunbartonshire,2014,89710,40337.66,0.45,17875.95,0.2
West Lothian,2014,177200,73485.394,0.41,33715.27237,0.19
Scotland,2014,5347600,2459559.022,0.46,1053236.765,0.2
Aberdeen City,2013,227070,94116.584,0.41,34956.02,0.15
Aberdeenshire,2013,257770,131810.777,0.51,47219.787000000004,0.18
Angus,2013,116290,54258.23,0.47,23415.73,0.2
Argyll and Bute,2013,88050,49244.0,0.56,17773.0,0.2
City of Edinburgh,2013,487460,26797.33,0.05,16043.833980000001,0.03
Clackmannanshire,2013,51280,75501.1,1.47,18082.11431,0.35
Dumfries and Galloway,2013,150280,61485.03,0.41,19110.89,0.13
Dundee City,2013,148100,58282.487,0.39,28455.61795,0.19
East Ayrshire,2013,122430,51996.79,0.42,23362.86,0.19
East Dunbartonshire,2013,105840,49334.88,0.47,20879.11,0.2
East Lothian,2013,101390,44056.624,0.43,24816.933999999997,0.24
East Renfrewshire,2013,91530,184360.38,2.01,70188.61,0.77
Falkirk,2013,157160,12738.18,0.08,4281.23,0.03
Fife,2013,366900,71949.56,0.2,38161.771,0.1
Glasgow City,2013,596520,190784.17,0.32,106602.3904,0.18
Highland,2013,232930,227940.26,0.98,61309.76,0.26
Inverclyde,2013,80340,125650.519,1.56,56574.01386,0.7
Midlothian,2013,84710,29183.135,0.34,16183.660269999998,0.19
Moray,2013,94360,40177.177,0.43,17012.177,0.18
Na h-Eileanan an Iar,2013,27400,47533.348,1.73,24423.767999999996,0.89
North Ayrshire,2013,136940,61907.53,0.45,34703.65873,0.25
North Lanarkshire,2013,337780,152729.125,0.45,64570.64392,0.19
Orkney Islands,2013,21560,9923.2,0.46,3053.021137,0.14
Perth and Kinross,2013,147770,74267.3,0.5,40088.33363,0.27
Renfrewshire,2013,173890,78416.807,0.45,34741.78599,0.2
Scottish Borders,2013,113880,51241.91,0.45,21178.33841,0.19
Shetland Islands,2013,23200,10140.54,0.44,1234.74,0.05
South Ayrshire,2013,112870,55423.25,0.49,24573.8478,0.22
South Lanarkshire,2013,314810,144734.36,0.46,56528.72,0.18
Stirling,2013,91230,39922.82,0.44,21448.17939,0.24
West Dunbartonshire,2013,89800,36206.0,0.4,15928.09,0.18
West Lothian,2013,176160,70592.408,0.4,31289.891880000003,0.18
Scotland,2013,5327700,2412705.8109999998,0.45,1018192.5290000001,0.19
Aberdeen City,2012,224910,97230.3,0.43,36242.02,0.16
Aberdeenshire,2012,255560,134707.833,0.53,47889.053,0.19
Angus,2012,116220,60803.407,0.52,24388.507,0.21
Argyll and Bute,2012,86910,48509.0,0.56,15291.0,0.18
City of Edinburgh,2012,482630,27736.43,0.06,16347.83703,0.03
Clackmannanshire,2012,51280,77709.09,1.52,17237.74094,0.34
Dumfries and Galloway,2012,150840,70102.87,0.46,20793.70025,0.14
Dundee City,2012,147780,58793.151,0.4,26108.67728,0.18
East Ayrshire,2012,122730,55233.59,0.45,21367.85,0.17
East Dunbartonshire,2012,105880,52352.55,0.49,23497.632830000002,0.22
East Lothian,2012,100860,43986.21599999999,0.44,23829.306,0.24
East Renfrewshire,2012,91040,187716.0,2.06,68895.6,0.76
Falkirk,2012,156800,14301.43,0.09,4250.975624000001,0.03
Fife,2012,366210,76110.832,0.21,41978.53736,0.11
Glasgow City,2012,595070,195594.99,0.33,103302.81599999999,0.17
Highland,2012,232890,234209.32,1.01,69113.38042,0.3
Inverclyde,2012,80690,126183.09800000001,1.56,55935.167779999996,0.69
Midlothian,2012,84240,33248.185,0.39,16842.46562,0.2
Moray,2012,92930,42701.112,0.46,19339.042,0.21
Na h-Eileanan an Iar,2012,27560,49883.636,1.81,25904.611,0.94
North Ayrshire,2012,137570,62735.18,0.46,32479.27382,0.24
North Lanarkshire,2012,337890,155836.878,0.46,62012.6522,0.18
Orkney Islands,2012,21530,10232.5,0.48,2301.460154,0.11
Perth and Kinross,2012,147740,75013.7,0.51,41252.7188,0.28
Renfrewshire,2012,174300,82126.24,0.47,31911.156939999997,0.18
Scottish Borders,2012,113720,52861.1,0.46,22647.74371,0.2
Shetland Islands,2012,23210,10859.37,0.47,1461.481364,0.06
South Ayrshire,2012,112920,57626.86,0.51,27350.213089999997,0.24
South Lanarkshire,2012,314330,151923.3,0.48,56798.44,0.18
Stirling,2012,91010,43190.1,0.47,24051.67989,0.26
West Dunbartonshire,2012,90340,38944.44,0.43,17192.6777,0.19
West Lothian,2012,176010,72532.257,0.41,31134.087639999998,0.18
Scotland,2012,5313600,2500994.965,0.47,1029149.505,0.19
Aberdeen City,2011,222460,97183.826,0.44,34661.896,0.16
Aberdeenshire,2011,253650,148052.31699999998,0.58,49734.687000000005,0.2
Angus,2011,116200,62199.615,0.54,25991.80201,0.22
Argyll and Bute,2011,88930,46301.0,0.52,13691.0,0.15
City of Edinburgh,2011,477940,30598.02,0.06,15911.48345,0.03
Clackmannanshire,2011,51500,81620.08,1.58,17440.58575,0.34
Dumfries and Galloway,2011,151410,68367.59,0.45,22140.97584,0.15
Dundee City,2011,147200,61087.2,0.41,28577.255680000002,0.19
East Ayrshire,2011,122690,58998.21,0.48,22266.064919999997,0.18
East Dunbartonshire,2011,105000,53163.29,0.51,23432.47224,0.22
East Lothian,2011,99920,45191.240999999995,0.45,23999.50693,0.24
East Renfrewshire,2011,90810,189697.02899999998,2.09,59077.469000000005,0.65
Falkirk,2011,156250,16509.324,0.11,4378.907827,0.03
Fife,2011,365300,78177.04,0.21,41207.55057,0.11
Glasgow City,2011,593060,214551.80800000002,0.36,115957.6649,0.2
Highland,2011,232730,250708.54,1.08,67016.72348,0.29
Inverclyde,2011,81220,125454.354,1.54,55820.64189,0.69
Midlothian,2011,83450,33937.342000000004,0.41,13990.664859999999,0.17
Moray,2011,93470,43849.291,0.47,20686.731,0.22
Na h-Eileanan an Iar,2011,27690,52334.162000000004,1.89,23337.854,0.84
North Ayrshire,2011,138090,68311.58,0.49,35399.5138,0.26
North Lanarkshire,2011,337720,160245.822,0.47,63082.40656,0.19
Orkney Islands,2011,21420,10254.7,0.48,3083.3,0.14
Perth and Kinross,2011,146850,79918.2,0.54,41820.2,0.28
Renfrewshire,2011,174700,82571.14,0.47,34891.55779,0.2
Scottish Borders,2011,113880,53821.56,0.47,24897.4555,0.22
Shetland Islands,2011,23240,11791.993999999999,0.51,1967.587459,0.08
South Ayrshire,2011,112980,58481.24,0.52,28195.61876,0.25
South Lanarkshire,2011,313900,163213.72,0.52,57573.1,0.18
Stirling,2011,90330,44023.797999999995,0.49,23538.60527,0.26
West Dunbartonshire,2011,90610,41168.38,0.45,18534.60455,0.2
West Lothian,2011,175300,74975.61,0.43,32707.16362,0.19
Scotland,2011,5299900,2606759.023,0.49,1045013.051,0.2
